UPID,Flipkart_URL
17147410,https://www.flipkart.com/urbano-fashion-slim-men-grey-jeans/p/itm8061dd5e15b32?pid=JEAFTZRVT4CPHC9Y&lid=LSTJEAFTZRVT4CPHC9YJNFEPE&marketplace=FLIPKART&q=Urbano+Fashion&store=clo&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=5d0a6be0-933b-461b-a926-61d12d398e18.JEAFTZRVT4CPHC9Y.SEARCH&ppt=sp&ppn=sp&ssid=w74uzl6ukw0000001622532181992&qH=8d2bb9706787e8a4
16881095,https://www.flipkart.com/gentino-solid-men-polo-neck-brown-t-shirt/p/itmfe002d1f3cb7d?pid=TSHFPNX6EMWZTKQG&lid=LSTTSHFPNX6EMWZTKQGVPPTSR&marketplace=FLIPKART&q=Gentino&store=clo%2Fash&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=60503e16-8c39-4a41-aaaa-1a3442166a69.TSHFPNX6EMWZTKQG.SEARCH&ppt=sp&ppn=sp&ssid=2hoibtx7rk0000001622532577650&qH=7ac506ac2dff7d53
16981917,https://www.flipkart.com/benstoke-men-kurta-churidar-set/p/itm419779da22208?pid=ETHFMGG59BDMHZSK&lid=LSTETHFMGG59BDMHZSKNPSZHV&marketplace=FLIPKART&sattr[]=color&st=color
15137523,https://www.flipkart.com/shaily-retails-floral-print-fashion-poly-georgette-saree/p/itmd6576bd00f1c7?pid=SARF2YYRXWNWKFRF&lid=LSTSARF2YYRXWNWKFRFO0TV49&marketplace=FLIPKART&q=Shaily+Green+Georgette+&store=clo%2F8on%2Fzpd%2F9og&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=3fbe0657-3a20-4864-b8cd-8d6542b61490.SARF2YYRXWNWKFRF.SEARCH&ppt=sp&ppn=sp&ssid=fv4odi1xhc0000001622531619279&qH=c2345b31a4dc13f5
17433938,https://www.flipkart.com/aks-women-self-design-straight-kurta/p/itmf4ygg7uhdzwmg?pid=KTAF4Y6G8XGKJ6NK&lid=LSTKTAF4Y6G8XGKJ6NKWVFPVO&marketplace=FLIPKART&q=Aks+Navy+Cotton+Straight+Kurta+&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=2cadf586-c366-462f-996c-371160f829cc.KTAF4Y6G8XGKJ6NK.SEARCH&ppt=sp&ppn=sp&ssid=tz3yxrd7fk0000001622531497147&qH=155b1e8341722f2b
16096699,https://www.flipkart.com/force-10-liberty-stephen-22-casuals-men/p/itmfhgcqhyhp4s8a?pid=SHOFC4YEJRZ56X9T&lid=LSTSHOFC4YEJRZ56X9TMZWZEN&marketplace=FLIPKART&store=osp&srno=b_1_5&otracker=browse&fm=organic&iid=fed15b50-7837-4a53-a61b-4e3d129a2cc4.SHOFC4YEJRZ56X9T.SEARCH&ppt=browse&ppn=browse&ssid=ea3qvf3i9s0000001622530412570
17356796,https://www.flipkart.com/hangup-men-pathani-suit-set/p/itm8a4f3b388f6e5?pid=ETHEZZD8TESGYFEY&lid=LSTETHEZZD8TESGYFEYXJEBFN&marketplace=FLIPKART&q=Hang+Up+Black+Solid+Pathani+Set&store=clo%2Fcfv%2Fitg%2Fpme&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=7462c829-682a-4fd8-8ef5-83ab104660ac.ETHEZZD8TESGYFEY.SEARCH&ppt=sp&ppn=sp&ssid=zcv3megkyo0000001622530214741&qH=59bd847e8014dced
17515421,https://www.flipkart.com/veirdo-color-block-men-polo-neck-reversible-maroon-black-t-shirt/p/itm114d7847b2fcd?pid=TSHFYTNYNJFJSHJK&lid=LSTTSHFYTNYNJFJSHJKDOHNLD&marketplace=FLIPKART&q=+Veirdo+Polo+T-Shirt&store=clo%2Fash%2Fank%2Fedy&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=caabf8b3-8ed9-416b-9477-579ff93cd0e0.TSHFYTNYNJFJSHJK.SEARCH&ppt=sp&ppn=sp&ssid=5xeqyz58y80000001622529855611&qH=3e50ad8dbb185f7b
17470826,https://www.flipkart.com/butterflies-steps-women-multicolor-wedges/p/itm1b85fa2d7d80e?pid=SNDFVNB89FHA7GQW&lid=LSTSNDFVNB89FHA7GQWATVWBI&marketplace=FLIPKART&sattr[]=color&sattr[]=size&st=color&otracker=search
15703765,https://www.flipkart.com/purple-state-men-solid-straight-kurta/p/itmfakwxa4brz3fr?pid=KTAFAJFFC6MXSHRV&lid=LSTKTAFAJFFC6MXSHRVPE2CJR&marketplace=FLIPKART&sattr[]=size&st=size
